Region,Sample_N,Est_Cases,CMD_Prev_Pct,SE_Pct,CI_Lower_95,CI_Upper_95,CI_Width,Above_National,Prev_Men_Pct,Prev_Women_Pct,Gender_Gap_Pct
North East,677,128,18.9,1.505,16.13,22.02,5.89,Yes,14.7,22.4,7.7
North West,1785,307,17.2,0.893,15.52,19.02,3.5,Yes,13.2,20.7,7.5
London,1530,260,17.0,0.96,15.2,18.96,3.76,Yes,13.2,20.4,7.2
Yorkshire & Humber,1321,217,16.4,1.019,14.5,18.49,3.99,Yes,12.8,19.5,6.7
West Midlands,1419,228,16.1,0.976,14.28,18.1,3.82,Yes,12.5,19.3,6.8
East Midlands,1200,188,15.7,1.05,13.75,17.87,4.12,No,12.1,18.9,6.8
East of England,1367,205,15.0,0.966,13.21,16.99,3.78,No,11.8,17.8,6.0
South East,756,111,14.7,1.288,12.35,17.4,5.05,No,11.4,17.5,6.1
South West,1088,156,14.3,1.061,12.35,16.51,4.16,No,11.0,17.1,6.1
